"R0000100","R0536300","R0536401","R0536402","R0536600","R1201300","R1204500","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R2516200","R3828100","R5342000","R7085900","S1527400","S3592800","S4967700","S6707500","S8680100","T1100000","T3177200","T4588300","T6221600","T7718800","T9119400","U1110900"
5189,2,4,1980,16,1,65000,1,14,12,14,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5190,2,6,1981,15,1,65000,1,14,12,14,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5191,1,1,1981,16,1,37000,1,12,12,12,12,4,17,18,19,20,21,22,23,24,26,26,27,28,29,30,32,34
5192,2,9,1982,14,1,37000,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5193,2,6,1983,13,1,65096,1,16,16,16,16,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5194,2,3,1980,16,1,84000,1,16,16,16,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,-5,-5
5195,2,7,1982,14,1,84000,1,16,16,16,16,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-5
5196,2,10,1981,15,1,61500,1,16,14,16,14,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5197,1,12,1981,15,1,40000,1,18,16,18,16,4,16,17,19,20,21,22,23,24,25,26,26,27,28,29,31,34
5198,2,11,1984,12,1,40000,1,18,16,18,16,4,13,14,16,17,18,19,20,21,22,23,24,24,26,26,29,30
5199,1,8,1983,13,1,21300,1,12,12,12,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5200,2,9,1984,12,1,21300,1,12,12,12,12,4,-5,15,16,17,18,19,20,21,22,23,24,25,26,27,29,-5
5201,1,2,1981,16,1,62000,1,18,16,18,16,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,35
5202,2,5,1981,16,1,64000,1,12,14,12,14,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5203,2,11,1980,16,1,59106,1,13,14,13,14,4,17,19,20,21,22,23,24,25,26,27,-5,28,30,30,33,-5
5204,2,12,1984,12,1,81500,1,12,12,12,12,4,13,14,15,16,18,18,20,20,21,22,24,24,25,26,29,31
5205,2,7,1981,15,1,58000,1,12,12,12,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5206,2,5,1983,13,1,112500,1,14,14,14,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5207,2,4,1981,15,1,36385,1,-3,14,14,14,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5208,2,2,1984,13,1,36385,1,-3,14,14,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5209,1,6,1981,15,1,46000,1,14,12,14,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5210,2,11,1980,16,-4,-4,1,-3,-3,-3,-3,4,18,19,19,21,22,22,24,25,26,26,28,28,30,30,33,35
5211,1,7,1984,12,1,11092,1,-4,12,-4,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5212,2,2,1982,15,1,43000,1,-3,-3,-3,-3,4,16,17,18,19,21,21,22,23,24,25,26,27,29,29,31,34
5213,1,4,1984,12,1,43000,1,-3,-3,-3,-3,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5214,1,3,1983,14,1,48020,1,12,12,12,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5215,2,8,1980,16,1,9600,1,12,12,-4,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5216,2,7,1980,16,1,29100,1,12,12,12,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5217,2,9,1984,12,1,29100,1,12,12,12,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5218,1,5,1984,12,1,29100,1,-4,-4,-4,-4,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5219,2,11,1981,15,1,246474,1,-3,-3,-3,-3,4,17,18,19,20,21,22,23,24,25,25,27,27,28,29,32,34
5220,1,1,1984,13,1,246474,1,-3,-3,-3,-3,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5221,2,11,1983,13,1,62000,1,12,12,12,12,4,14,15,17,18,19,20,21,22,23,24,25,25,27,27,30,32
5222,1,7,1980,16,1,68800,1,12,14,16,14,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,-5
5223,1,4,1984,13,1,68800,1,12,14,16,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5224,1,1,1981,16,1,53000,1,12,12,12,12,4,17,18,19,20,22,23,23,25,25,27,27,28,29,30,33,35
5225,2,4,1983,13,1,21000,1,-4,12,-4,12,4,15,16,17,18,19,20,21,22,23,24,25,-5,27,28,30,-5
5226,1,8,1980,16,3,246474,1,95,95,95,95,4,18,19,20,21,22,23,24,25,26,27,-5,-5,-5,-5,-5,-5
5227,2,6,1981,15,1,31200,1,-4,12,-4,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5228,2,3,1983,14,1,31200,1,-4,12,-4,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5229,1,1,1981,16,1,75000,1,12,12,12,12,4,17,18,19,20,22,22,23,25,25,27,27,28,30,30,33,35
5230,2,12,1982,14,1,75000,1,12,12,12,12,4,15,16,17,19,20,21,22,23,24,24,26,26,28,28,31,33
5231,1,1,1980,17,1,90578,1,14,12,14,12,4,18,19,20,22,23,23,25,26,26,27,28,29,30,31,34,36
5232,2,5,1981,15,-4,-3,1,12,12,14,18,2,17,18,19,20,21,22,23,24,25,-5,27,28,29,30,32,34
5233,2,9,1984,12,-4,-3,1,-4,-3,14,18,4,14,15,16,17,18,19,-5,21,22,23,24,25,26,27,29,31
5234,1,8,1984,12,1,78000,1,12,18,12,18,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5235,1,7,1980,17,1,71300,1,13,12,13,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5236,2,2,1981,16,1,67000,1,18,14,18,16,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5237,2,4,1981,16,1,67000,1,20,16,18,16,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5238,1,8,1984,12,1,67000,1,18,14,18,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5239,2,8,1984,12,1,67000,1,-3,16,18,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5240,1,8,1980,16,1,8000,1,10,11,10,-4,2,18,19,20,21,22,-5,24,25,26,27,28,29,30,31,33,-5
5241,2,5,1983,13,1,7700,1,12,14,-4,-4,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5242,2,2,1980,17,1,55000,1,-3,-3,-3,-3,4,18,19,20,21,22,23,25,25,26,27,28,29,-5,-5,-5,-5
5243,2,12,1982,14,1,43400,1,10,14,12,14,4,16,16,18,18,19,20,21,22,23,24,25,26,27,28,30,32
5244,1,9,1982,14,1,22500,1,15,12,15,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5245,1,2,1984,13,1,22500,1,15,12,15,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,32
5246,1,8,1984,12,1,80000,1,18,18,18,18,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5247,2,12,1983,13,1,46000,1,-4,13,14,13,4,14,15,17,17,19,20,21,22,22,23,24,25,26,27,29,31
5248,1,1,1983,14,1,27000,1,9,12,9,-4,4,15,17,18,19,20,20,21,22,23,24,25,26,27,28,30,33
5249,1,4,1982,14,1,42622,1,13,14,13,14,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5250,1,12,1981,15,1,19150,1,9,14,-3,14,4,16,17,19,19,21,-5,23,-5,-5,-5,27,28,-5,-5,-5,-5
5251,2,8,1981,15,1,19000,1,12,12,-4,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5252,1,9,1982,14,1,19000,1,12,12,-4,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5253,2,12,1981,16,1,53600,1,-4,12,12,12,4,16,17,19,19,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5254,1,9,1984,12,1,17360,1,-4,13,11,-4,4,14,-5,16,-5,-5,-5,-5,-5,-5,-5,24,25,-5,-5,-5,-5
5255,1,10,1984,12,1,26000,1,12,13,12,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5256,2,5,1984,12,-4,-4,1,12,12,-4,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5257,2,1,1983,14,1,25000,1,16,14,18,14,4,16,16,17,18,20,21,22,22,23,25,25,26,-5,28,30,33
5258,1,9,1982,14,1,35000,1,-3,-3,-3,-3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5259,1,10,1980,16,1,79200,1,14,13,14,13,4,18,19,20,21,22,23,24,25,26,27,28,29,30,30,33,-5
5260,1,8,1982,14,1,79200,1,14,13,14,13,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,-5
5261,2,5,1984,12,1,79200,1,14,13,14,13,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5262,1,12,1982,14,1,-3,1,13,11,13,-4,4,15,16,17,18,20,20,21,22,23,24,25,26,27,28,30,32
5263,2,1,1984,13,1,-3,1,13,11,13,-4,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5264,2,9,1980,16,1,16500,1,-4,12,-4,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5265,2,8,1981,15,1,6400,1,-4,12,-4,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5266,1,3,1984,13,1,6400,1,-4,12,-4,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5267,2,10,1981,15,1,90500,1,18,14,18,14,4,17,18,19,20,21,22,23,24,25,26,27,28,29,29,32,34
5268,1,6,1983,13,1,90500,1,18,14,18,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-5,-5
5269,2,5,1982,14,1,75000,1,-3,-3,-3,-3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5270,2,12,1980,16,1,26500,1,12,14,12,14,4,18,19,19,20,21,22,24,25,26,27,28,28,29,30,33,34
5271,1,1,1981,16,1,19028,1,-3,12,-3,12,4,17,18,20,20,21,22,24,24,25,26,27,28,29,30,32,34
5272,2,12,1980,16,1,104500,1,18,16,20,16,4,18,18,20,20,21,23,24,24,25,26,27,28,29,30,33,34
5273,1,3,1980,17,1,2500,1,-3,16,-3,14,4,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5274,2,1,1981,16,1,67476,1,12,12,12,12,4,17,18,19,20,21,22,23,24,25,-5,-5,-5,-5,-5,-5,-5
5275,1,9,1980,16,1,68800,1,15,16,15,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5276,2,12,1980,16,1,-3,1,9,11,-4,-4,4,18,19,20,21,21,23,24,25,25,26,27,28,29,30,33,34
5277,1,1,1983,14,1,62300,1,14,16,14,16,4,15,16,17,18,20,20,22,22,23,24,25,26,28,28,31,32
5278,1,1,1982,15,1,-3,1,15,16,15,16,4,16,17,18,19,21,21,22,23,24,25,-5,27,-5,-5,-5,-5
5279,1,9,1980,16,1,56000,1,16,15,16,15,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5280,2,10,1982,14,1,56000,1,16,15,16,15,4,16,17,18,19,20,21,22,23,24,25,26,27,28,28,31,33
5281,2,5,1980,16,1,49100,1,15,12,15,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5282,1,1,1984,13,1,49100,1,15,12,15,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5283,1,9,1982,14,1,27500,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-5
5284,1,1,1980,17,1,0,1,10,12,-4,12,4,18,19,21,22,22,23,25,26,26,27,28,29,31,32,-5,36
5285,2,4,1981,15,1,0,1,15,12,-4,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5286,1,5,1982,14,1,0,1,15,12,-4,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,33
5287,1,9,1982,14,1,18500,1,11,8,11,8,4,16,17,-5,19,20,21,-5,23,24,25,26,27,28,-5,31,-5
5288,1,1,1984,13,1,18500,1,11,8,11,8,4,14,16,-5,18,18,19,21,22,22,23,24,25,26,27,30,32
5289,2,9,1984,12,-4,-4,1,8,12,8,-4,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5290,2,2,1981,16,1,8600,1,11,14,12,14,4,17,-5,-5,-5,-5,-5,-5,-5,-5,-5,28,28,29,30,32,34
5291,2,6,1983,14,1,8600,1,11,14,12,14,4,15,16,17,-5,-5,20,-5,-5,-5,-5,-5,-5,-5,-5,31,32
5292,1,7,1983,13,1,20436,1,12,13,12,13,4,15,16,17,18,19,20,21,22,23,24,25,26,-5,-5,-5,-5
5293,2,1,1983,14,1,10168,1,9,8,12,8,4,16,16,18,18,19,20,21,23,23,24,25,26,27,28,31,32
5294,2,3,1983,14,1,51856,1,12,14,12,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5295,2,1,1984,13,1,10000,1,14,15,-4,15,4,14,15,16,18,19,19,20,22,22,23,25,25,26,27,29,32
5296,2,5,1980,16,1,8304,1,10,9,11,9,4,18,19,-5,21,22,23,24,25,26,27,28,29,30,31,34,-5
5297,2,4,1982,14,1,8304,1,11,-3,11,9,4,16,17,18,-5,20,-5,22,23,24,25,26,27,28,29,31,33
5298,2,5,1981,15,1,43380,1,10,12,12,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,34
5299,2,11,1984,12,1,43380,1,12,-3,12,12,4,13,15,16,17,18,19,20,21,22,22,23,24,25,26,-5,31
5300,2,12,1980,16,1,69000,1,14,16,14,16,4,17,19,20,21,21,22,24,24,25,26,27,28,29,30,33,34
5301,1,3,1984,13,1,69000,1,14,16,14,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5302,2,11,1982,14,1,63000,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,24,26,26,27,28,31,33
5303,2,7,1981,15,1,41800,1,12,9,12,9,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5304,2,7,1981,15,1,41800,1,12,9,12,9,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5305,1,5,1983,14,1,24500,1,13,13,-4,13,4,-5,-5,17,18,19,-5,21,22,23,24,25,26,27,28,30,32
5306,1,9,1980,16,1,46850,1,12,15,12,15,4,18,19,20,-5,22,23,24,25,26,27,28,29,30,30,33,35
5307,2,8,1981,15,1,25400,1,13,13,12,13,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5308,1,11,1982,14,1,8100,1,12,12,-4,12,3,16,17,18,19,20,21,22,-5,-5,-5,-5,27,-5,-5,31,33
5309,1,1,1984,13,1,8100,1,12,12,-4,12,3,14,15,17,17,18,19,20,22,22,23,24,25,26,27,30,31
5310,2,5,1980,16,1,42800,1,16,14,12,14,2,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5311,2,3,1980,17,1,73680,1,20,16,20,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5312,1,7,1984,12,1,73680,1,20,16,20,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5313,1,11,1980,16,1,49000,1,10,12,10,12,4,17,19,20,21,22,23,24,25,25,27,27,28,29,30,33,-5
5314,1,6,1980,16,1,36130,1,12,11,12,11,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5315,2,8,1984,12,1,28588,1,12,9,11,9,4,14,15,16,17,18,19,20,-5,-5,23,24,25,26,27,29,31
5316,1,10,1981,15,1,53000,1,12,12,12,12,4,17,18,19,20,21,22,-5,24,25,26,27,27,29,29,32,34
5317,2,2,1983,14,1,53000,1,12,12,12,12,4,15,16,18,18,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,-5
5318,2,12,1983,13,1,10536,1,8,5,8,5,2,14,15,16,18,18,19,21,22,22,23,24,25,26,27,30,-5
5319,2,1,1981,16,1,43890,1,12,12,12,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5320,2,12,1982,14,1,75000,1,12,12,12,12,4,15,17,17,19,19,21,22,23,24,24,-5,-5,-5,-5,-5,-5
5321,1,12,1980,16,-4,-4,1,14,14,12,14,4,17,-5,20,21,22,22,24,24,25,26,27,28,29,30,33,35
5322,1,10,1983,13,1,15000,1,14,14,12,14,4,15,16,17,18,19,20,21,22,23,24,24,25,26,27,-5,32
5323,1,7,1981,15,1,31632,1,-4,10,-4,-4,4,17,18,19,20,21,22,23,24,-5,26,27,28,29,30,32,34
5324,2,2,1982,15,1,11500,1,12,10,-4,10,4,16,17,18,19,20,21,22,23,24,25,26,27,29,29,31,33
5325,1,7,1983,13,1,11500,1,8,10,-4,10,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5326,2,8,1984,12,1,-3,1,-4,12,11,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5327,1,10,1983,13,1,38000,1,10,9,10,9,4,15,16,17,18,19,20,21,22,23,24,25,26,26,28,-5,-5
5328,2,12,1983,13,1,13000,1,16,13,16,13,4,-5,16,17,18,19,19,21,22,23,24,24,25,26,27,29,31
5329,1,11,1982,14,1,-3,1,14,13,-4,13,4,16,17,18,19,20,21,22,23,24,25,26,26,27,28,31,33
5330,1,1,1984,13,1,0,1,12,12,12,12,4,15,15,16,17,18,19,20,21,22,23,24,25,26,27,-5,32
5331,1,9,1981,15,-4,-4,1,10,12,13,12,4,-5,-5,-5,-5,-5,22,-5,-5,25,26,27,-5,-5,30,32,34
5332,1,7,1981,15,1,34500,1,12,16,12,16,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5333,2,2,1983,14,1,34500,1,12,16,12,16,4,15,16,17,18,20,20,22,-5,23,24,26,26,28,28,31,-5
5334,2,12,1984,12,1,34500,1,12,16,12,16,4,13,15,16,17,18,18,19,21,21,22,24,24,26,26,-5,31
5335,2,10,1980,16,1,-3,1,11,13,11,13,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5336,1,9,1981,15,1,27006,1,10,12,10,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5337,1,9,1983,13,1,27006,1,10,12,10,12,4,15,16,17,18,19,20,21,22,23,24,-5,26,27,-5,30,-5
5338,2,2,1981,16,1,23800,1,11,10,11,10,4,17,19,-5,-5,-5,-5,-5,-5,25,26,27,28,29,30,32,34
5339,1,10,1984,12,1,23800,1,11,10,11,10,4,14,15,-5,-5,-5,-5,-5,-5,22,23,24,25,25,26,29,31
5340,2,1,1982,15,1,57856,1,12,14,12,14,4,16,17,18,20,20,21,23,23,25,26,26,27,28,29,31,33
5341,1,5,1981,15,1,63500,1,12,12,12,12,4,-5,-5,19,20,-5,-5,-5,24,25,26,27,28,29,30,-5,34
5342,1,10,1982,14,1,14000,1,12,14,12,14,4,16,17,18,19,20,21,22,23,24,24,26,26,27,29,31,33
5343,2,7,1984,12,1,14000,1,12,14,12,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5344,2,5,1982,14,1,45800,1,14,12,14,12,4,16,17,18,19,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5345,1,2,1980,17,1,82000,1,16,17,16,17,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5346,2,9,1983,13,1,82000,1,16,17,16,17,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5347,1,12,1982,14,1,27400,1,12,12,12,12,4,15,17,17,18,20,20,22,22,23,24,25,26,27,28,31,32
5348,1,11,1984,12,1,27400,1,12,12,12,12,4,14,15,16,17,18,19,20,21,22,22,24,25,26,-5,-5,-5
5349,1,8,1982,14,1,28000,1,8,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5350,1,7,1983,13,-4,-4,1,12,-3,12,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5351,2,9,1983,13,-4,-4,1,12,12,-4,12,4,-5,-5,17,18,19,-5,-5,-5,-5,-5,-5,-5,27,-5,-5,-5
5352,1,3,1981,16,1,-3,1,12,12,12,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5353,1,1,1982,15,1,42000,1,12,13,12,13,4,17,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5354,1,11,1983,13,1,42000,1,12,13,12,13,4,15,16,17,18,19,20,21,22,23,24,24,26,26,27,30,32
5355,1,10,1980,16,1,55428,1,14,16,14,16,4,18,19,20,21,22,23,24,25,26,27,28,28,30,30,33,35
5356,1,8,1983,13,1,55428,1,14,16,14,16,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5357,1,3,1982,14,1,93600,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5358,2,7,1982,14,1,40200,1,20,18,20,18,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5359,2,11,1981,15,1,51500,1,12,10,12,10,4,17,17,19,20,21,22,23,24,24,25,27,28,28,29,32,-5
5360,1,6,1982,14,1,48450,1,17,12,17,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-5
5361,2,7,1984,12,1,48450,1,17,12,17,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,-5,-5
5362,1,9,1981,15,1,45500,1,13,13,13,13,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-5,-5
5363,1,2,1980,17,1,33960,1,13,20,-4,20,4,18,19,20,21,22,23,24,25,26,28,28,29,30,31,33,35
5364,1,7,1980,16,3,51600,1,14,16,14,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5365,2,11,1983,13,1,23000,1,-3,14,-4,14,4,15,16,17,18,18,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5366,1,9,1984,12,1,56326,1,12,12,12,12,4,14,-5,-5,-5,18,19,20,21,22,23,24,25,26,27,29,31
5367,2,1,1983,14,1,42000,1,12,13,12,13,4,16,16,17,18,19,20,21,22,23,24,25,26,27,28,30,33
5368,1,8,1980,16,1,25600,1,12,12,-4,-4,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5369,2,8,1984,12,1,50075,1,16,14,16,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5370,1,4,1981,16,1,30500,1,12,12,12,12,4,17,18,-5,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5371,1,1,1982,15,1,26000,1,14,12,14,12,4,17,18,18,20,21,22,23,24,24,25,26,27,28,29,31,33
5372,2,7,1981,15,1,22500,1,16,16,16,-4,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5373,1,2,1983,14,1,22092,1,11,14,-4,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,33
5374,1,6,1984,12,1,41200,1,13,14,13,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5375,1,2,1983,14,1,43200,1,-3,14,-4,14,4,15,16,17,18,19,20,22,-5,24,-5,-5,27,28,29,-5,-5
5376,1,6,1984,12,-4,-4,1,11,8,11,8,3,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5377,1,2,1983,14,1,22300,1,-4,12,12,10,4,15,16,18,-5,-5,-5,-5,22,23,-5,-5,-5,-5,-5,-5,-5
5378,2,10,1984,12,-4,-4,1,-4,12,11,12,4,14,15,16,17,18,19,20,21,22,22,24,24,26,26,29,31
5379,1,11,1982,14,1,17200,1,12,16,-4,16,4,16,17,18,19,20,21,22,-5,24,25,25,27,28,29,31,-5
5380,1,4,1981,15,1,48700,1,16,16,16,16,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5381,2,12,1983,13,1,8700,1,11,13,11,13,4,15,15,17,18,18,19,20,21,22,24,24,25,26,27,30,31
5382,2,9,1983,13,1,48300,1,14,13,14,13,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5383,1,3,1981,15,1,-3,1,14,12,14,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5384,1,5,1983,13,1,-3,1,14,12,14,12,4,15,16,17,18,19,20,21,22,23,24,25,-5,-5,-5,31,33
5385,1,6,1982,15,1,42200,1,16,16,16,16,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5386,2,9,1980,16,1,246474,1,13,17,13,17,4,18,19,-5,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5387,2,9,1980,16,1,17360,1,12,12,-4,12,3,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5388,2,3,1984,13,1,81500,1,12,14,12,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
5389,2,5,1980,16,1,95750,1,16,16,16,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5390,2,3,1981,15,1,8501,1,12,13,-4,13,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,35
5391,1,9,1980,16,1,23500,1,16,13,16,13,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5392,2,11,1984,12,1,23500,1,16,13,16,13,4,14,15,16,17,18,19,20,21,21,23,23,24,26,26,29,31
5393,1,10,1981,15,1,41500,1,12,12,12,12,4,17,18,19,20,21,22,23,24,25,26,26,28,29,29,32,34
5394,2,11,1983,13,1,41500,1,12,12,12,12,4,15,16,17,18,19,20,21,21,23,24,25,25,27,27,30,31
5395,1,12,1981,15,1,56530,1,12,12,12,12,4,17,17,18,20,20,-5,-5,24,24,-5,-5,-5,-5,-5,-5,-5
5396,1,3,1980,16,1,58000,1,11,13,14,13,2,18,19,20,21,22,23,-5,25,26,27,28,29,30,31,33,35
5397,2,7,1982,14,1,58000,1,14,13,14,13,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
5398,2,7,1983,13,3,-3,1,-4,12,-4,12,4,15,16,17,18,19,20,21,22,23,24,-5,-5,-5,-5,-5,-5
5399,2,2,1980,16,1,16030,1,12,14,-4,14,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5400,1,1,1981,16,1,19667,1,14,12,-4,12,4,18,18,20,20,22,22,23,24,25,27,27,-5,-5,-5,-5,-5
5401,2,1,1983,14,1,37500,1,-4,16,-4,16,4,15,16,18,19,19,20,21,22,23,24,25,26,27,28,30,32
5402,2,7,1983,13,1,30500,1,12,12,12,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
5403,2,2,1980,17,1,28975,1,12,14,-4,14,4,19,20,20,21,22,23,24,25,26,27,28,29,30,31,33,35
5404,2,7,1983,13,1,28975,1,12,14,-4,14,4,15,16,17,18,19,-5,21,-5,23,24,25,26,27,28,30,32
5405,2,10,1981,15,1,42600,1,16,14,16,14,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5406,1,3,1982,15,1,73100,1,-3,16,16,16,4,16,17,18,19,20,21,22,23,24,25,26,-5,-5,-5,-5,-5
5407,1,4,1983,13,1,73100,1,-3,16,16,16,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-5,-5
