"R0000100","R0536300","R0536401","R0536402","R0536600","R1201300","R1204500","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R2516200","R3828100","R5342000","R7085900","S1527400","S3592800","S4967700","S6707500","S8680100","T1100000","T3177200","T4588300","T6221600","T7718800","T9119400","U1110900"
1336,1,6,1984,12,1,246474,1,18,16,18,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1337,2,11,1982,14,1,157500,1,16,16,16,16,4,16,17,18,-5,-5,-5,-5,23,-5,-5,-5,-5,-5,-5,-5,-5
1338,2,10,1981,15,1,-3,1,16,15,16,15,4,17,18,19,20,21,22,23,24,25,26,27,27,29,29,32,34
1339,1,3,1981,16,1,39250,1,17,13,17,13,4,-5,18,-5,20,21,-5,-5,-5,-5,-5,27,28,29,30,32,-5
1340,2,11,1984,12,1,39250,1,17,13,17,13,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1341,1,1,1983,14,1,-3,1,19,18,19,18,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1342,1,3,1980,17,1,83130,1,12,12,12,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1343,1,12,1980,16,1,92000,1,16,16,16,16,4,17,18,20,21,22,22,23,25,25,26,27,28,29,30,33,35
1344,2,10,1983,13,1,92000,1,16,16,16,16,4,15,16,17,18,19,20,21,22,23,24,24,25,26,27,30,32
1345,2,1,1980,17,1,57000,1,16,17,-4,17,1,-5,20,20,21,-5,-5,25,26,27,27,28,29,30,31,34,36
1346,1,11,1983,13,1,33000,1,13,14,13,14,1,-5,-5,-5,-5,-5,-5,21,-5,-5,-5,-5,-5,-5,-5,-5,-5
1347,2,1,1983,14,1,72000,1,14,12,14,12,4,15,16,17,19,20,20,21,22,24,24,25,26,27,28,30,33
1348,1,12,1981,15,1,43500,1,16,12,16,12,4,17,17,18,20,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1349,1,9,1983,13,1,50576,1,18,16,-4,16,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1350,2,11,1983,13,2,16000,1,5,10,5,10,2,14,16,17,18,19,19,21,21,22,23,24,25,26,27,30,32
1351,1,11,1981,15,2,0,1,4,-3,4,-3,2,17,18,19,20,21,21,23,24,25,26,26,28,29,29,32,33
1352,1,5,1983,13,2,0,1,4,-3,4,-3,2,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-5,32
1353,1,8,1984,12,2,0,1,4,-3,4,-3,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1354,2,7,1980,17,-4,-3,1,-4,-3,-4,-4,2,18,19,-5,21,-5,-5,24,-5,-5,-5,-5,-5,-5,-5,-5,-5
1355,2,11,1981,15,-4,65000,1,-3,-3,-4,-4,2,-5,-5,19,20,21,-5,23,-5,-5,-5,-5,-5,-5,-5,-5,-5
1356,2,5,1981,16,3,-3,1,5,4,5,4,2,17,-5,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1357,2,10,1982,14,3,-3,1,5,4,5,4,2,16,17,18,19,20,21,22,23,24,25,26,26,28,28,31,33
1358,2,8,1984,12,3,-3,1,5,4,5,4,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1359,1,5,1981,16,2,11850,1,15,13,-4,13,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1360,1,7,1981,15,3,103750,1,16,12,16,12,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1361,1,11,1982,14,3,103750,1,16,12,16,12,4,16,17,18,19,20,21,22,23,24,24,26,26,28,28,31,33
1362,2,7,1980,16,3,55000,1,18,20,15,20,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1363,1,3,1981,15,3,-3,1,-3,15,-4,15,2,-5,-5,20,20,21,-5,-5,-5,-5,-5,-5,28,29,30,32,34
1364,1,12,1980,16,1,-3,1,10,12,-4,-4,4,18,18,19,21,22,22,24,25,25,26,28,28,29,30,33,34
1365,1,7,1982,15,3,-3,1,-3,3,-4,3,2,-5,17,18,-5,20,21,-5,-5,24,25,26,27,-5,-5,-5,-5
1366,1,3,1980,16,1,-3,1,12,12,12,12,2,18,20,21,21,22,23,24,25,26,27,28,29,30,31,33,35
1367,1,2,1984,13,1,51512,1,12,14,12,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1368,2,12,1982,14,1,42000,1,9,12,9,12,2,15,16,17,19,19,20,21,22,23,24,25,26,27,28,31,32
1369,2,9,1981,15,1,58300,1,12,13,-4,13,4,17,18,19,20,21,22,-5,24,25,26,27,-5,-5,-5,32,34
1370,2,3,1984,14,1,91000,1,16,16,16,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1371,1,10,1981,15,1,40500,1,16,16,16,16,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,32,34
1372,2,8,1983,13,1,40500,1,16,16,16,16,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1373,1,8,1983,13,1,75500,1,16,12,16,12,4,15,16,17,18,19,20,21,22,23,-5,25,26,27,28,30,32
1374,1,5,1982,15,1,26750,1,9,12,9,8,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1375,2,12,1984,12,1,26750,1,-3,8,9,8,4,14,15,15,17,18,18,20,20,21,22,23,24,25,26,28,31
1376,1,4,1980,17,1,70000,1,-4,16,16,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1377,1,3,1984,13,1,35500,1,12,12,12,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,31
1378,1,6,1983,13,3,-3,1,-3,12,-4,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1379,2,8,1984,12,3,-3,1,-3,12,-4,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1380,2,2,1980,17,1,62000,1,12,12,12,12,4,19,19,20,22,22,23,24,25,26,27,28,29,30,31,33,35
1381,1,9,1983,13,1,42400,1,12,12,-4,12,4,15,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1382,1,4,1984,13,1,75500,1,12,18,12,18,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1383,1,12,1982,14,1,35500,1,11,14,-4,14,4,15,17,18,19,20,21,22,23,24,24,25,26,27,28,-5,33
1384,2,10,1983,13,1,7500,1,-3,12,-4,12,4,15,16,17,18,19,20,21,22,23,24,25,26,27,27,30,32
1385,2,9,1982,14,1,0,1,-3,12,-4,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1386,2,9,1981,15,3,65700,1,-3,12,-4,12,2,-5,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1387,2,9,1982,14,3,-3,1,-3,12,-4,12,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1388,2,8,1984,12,3,-3,1,-3,12,-4,12,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1389,2,2,1980,17,1,-3,1,-3,9,-4,9,4,-5,19,-5,21,22,24,25,-5,26,27,28,-5,-5,-5,-5,-5
1390,1,3,1982,14,-4,-3,1,11,11,-4,-4,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1391,2,7,1980,16,3,-3,1,4,5,-4,-4,2,18,19,-5,-5,-5,-5,-5,25,-5,27,-5,29,30,-5,-5,-5
1392,2,7,1980,16,2,-3,1,5,4,5,4,2,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1393,2,7,1984,12,2,-3,1,5,4,5,4,2,14,15,16,17,18,19,-5,21,22,23,24,25,26,27,29,31
1394,1,2,1984,13,1,-3,1,12,12,-4,12,1,14,16,16,17,18,19,20,22,22,24,24,25,26,27,29,31
1395,1,8,1983,13,1,42040,1,-3,12,-3,12,1,15,16,17,18,19,20,21,-5,23,24,25,26,-5,-5,-5,-5
1396,1,11,1984,12,1,42040,1,-3,12,-3,12,1,14,15,16,17,18,19,20,21,22,23,23,-5,-5,27,29,-5
1397,1,4,1982,14,1,-3,1,-3,-3,-4,-4,1,16,17,18,19,20,21,-5,23,24,25,-5,27,28,29,31,33
1398,2,7,1980,16,1,-3,1,12,12,12,12,1,18,19,20,21,22,23,-5,25,26,27,28,-5,30,31,33,35
1399,2,10,1984,12,1,9270,1,11,13,-4,13,1,14,15,16,17,18,19,20,21,22,23,23,24,26,26,29,31
1400,1,7,1980,16,1,25640,1,-4,12,7,12,1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1401,1,7,1983,13,1,25640,1,-4,12,7,12,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1402,1,9,1983,13,1,47900,1,14,12,-4,12,4,15,16,17,18,19,20,21,22,-5,-5,-5,26,27,28,30,32
1403,2,6,1981,16,1,33200,1,15,12,-4,12,4,-5,-5,-5,-5,-5,-5,-5,24,25,26,-5,28,29,30,32,34
1404,1,6,1983,14,1,33200,1,15,12,-4,12,4,-5,-5,-5,18,-5,20,-5,-5,23,-5,-5,-5,-5,-5,-5,-5
1405,1,3,1982,15,1,4574,1,12,12,-4,12,4,17,17,-5,-5,-5,21,23,-5,24,-5,26,28,-5,-5,-5,33
1406,1,11,1983,13,1,141000,1,12,12,12,12,4,15,15,17,18,19,20,21,22,23,23,24,25,26,27,30,31
1407,1,11,1983,13,1,93000,1,18,14,18,14,4,15,16,17,18,19,20,21,22,23,23,25,25,27,27,30,32
1408,1,3,1980,16,1,-3,1,16,12,16,12,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1409,1,2,1982,15,1,84300,1,-3,-3,12,18,4,-5,-5,-5,-5,21,22,23,23,24,25,27,27,28,30,-5,-5
1410,2,5,1980,16,1,71600,1,18,16,-4,16,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1411,2,5,1980,16,1,97400,1,17,20,17,20,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1412,2,6,1982,14,1,97400,1,17,20,17,20,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1413,2,8,1984,12,1,51800,1,12,13,13,13,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1414,2,7,1982,14,1,-3,1,14,12,14,-4,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1415,2,10,1982,14,1,37500,1,10,12,-4,12,4,-5,-5,-5,19,20,21,22,23,24,25,26,26,28,29,31,33
1416,2,8,1982,14,-4,-3,1,12,12,-4,-4,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1417,1,2,1983,14,1,55500,1,11,11,11,11,4,16,16,17,19,-5,20,-5,23,23,24,-5,27,-5,-5,-5,-5
1418,1,11,1983,13,1,13750,1,12,12,-4,12,4,15,16,17,18,19,20,21,22,22,23,24,25,26,27,30,32
1419,2,8,1982,14,1,7300,1,9,12,-4,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1420,2,8,1982,14,1,7300,1,9,12,-4,12,4,16,17,18,19,20,21,22,-5,-5,-5,26,27,28,-5,-5,-5
1421,1,6,1983,13,1,111750,1,20,18,20,18,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1422,2,7,1982,15,1,-3,1,12,16,-4,16,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1423,2,1,1983,14,1,-3,1,15,12,15,12,1,15,16,17,19,19,21,21,-5,-5,-5,-5,-5,-5,-5,-5,-5
1424,2,7,1983,14,1,-3,1,-4,12,-4,12,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1425,1,3,1981,16,-4,-4,1,12,-4,12,-4,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1426,1,10,1982,14,1,-3,1,-4,-4,-4,-4,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1427,2,6,1984,13,-4,-4,1,12,-4,12,-4,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1428,2,3,1980,17,1,-3,1,-4,12,-4,12,1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1429,2,3,1981,16,1,156000,1,16,14,16,14,4,-5,18,-5,20,21,22,23,24,25,26,27,28,29,30,33,34
1430,2,12,1982,14,1,156000,1,16,14,16,14,4,16,17,-5,19,20,21,21,23,23,25,-5,27,28,28,31,32
1431,1,6,1980,16,1,101300,1,18,18,18,18,4,18,-5,-5,21,22,-5,-5,25,26,27,28,29,30,31,33,35
1432,2,7,1982,14,1,101300,1,18,18,18,18,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,-5
1433,2,9,1984,12,1,101300,1,18,18,18,18,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,-5
1434,1,6,1980,16,-4,-4,1,20,12,20,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,-5,-5
1435,1,10,1982,14,1,73600,1,12,13,14,13,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1436,2,2,1984,13,1,73600,1,12,13,14,13,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1437,2,4,1980,16,1,32717,1,14,12,14,12,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33,36
1438,2,5,1982,14,1,63750,1,18,20,18,20,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1439,1,4,1983,13,1,75100,1,12,14,-4,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-5,33
1440,2,4,1981,15,1,56160,1,20,10,20,10,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1441,1,5,1980,16,1,58000,1,12,6,12,6,4,18,-5,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1442,2,7,1981,15,1,58000,1,12,6,12,6,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1443,1,1,1983,14,1,58000,1,12,6,12,6,4,15,16,17,19,19,20,21,22,23,24,25,26,28,28,31,33
1444,2,2,1981,16,1,107500,1,16,14,16,14,4,17,18,19,20,21,23,23,24,26,26,27,28,30,30,32,34
1445,2,1,1982,15,1,59000,1,16,16,16,16,4,16,17,18,19,20,21,23,23,24,25,26,27,28,29,32,33
1446,1,10,1984,12,1,59000,1,16,16,16,16,4,14,15,16,17,18,19,20,21,22,22,23,25,26,26,29,31
1447,1,10,1983,13,1,98200,1,16,14,16,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1448,2,12,1982,15,1,50000,1,-4,-4,16,14,4,15,16,17,18,20,20,22,23,24,25,-5,-5,27,29,-5,-5
1449,1,8,1980,16,1,133500,1,16,17,16,17,4,18,19,20,21,-5,23,24,25,26,27,28,29,30,31,33,35
1450,2,9,1981,15,1,158000,1,19,17,19,17,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1451,2,9,1981,15,-4,-4,1,18,14,18,14,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-5,34
1452,1,3,1983,14,1,62100,1,16,16,16,16,2,15,16,17,18,19,20,21,22,23,24,25,26,28,28,30,32
1453,2,11,1981,15,1,131000,1,18,16,18,16,4,17,18,19,20,21,21,23,24,25,26,26,27,29,29,32,33
1454,2,4,1981,16,1,246474,1,20,17,20,17,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1455,1,10,1983,13,1,246474,1,20,17,20,17,4,15,16,17,18,19,20,21,22,23,24,25,25,27,27,30,32
1456,1,4,1980,16,1,110000,1,10,16,10,16,4,18,19,-5,-5,23,23,24,25,26,27,28,29,30,31,33,35
1457,1,3,1983,14,1,93000,1,20,16,20,16,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1458,1,4,1981,16,1,69200,1,16,16,16,16,4,-5,18,-5,-5,-5,-5,-5,-5,-5,27,27,28,-5,31,-5,-5
1459,2,11,1984,12,1,69200,1,16,16,16,16,4,14,15,16,17,18,19,20,21,22,22,24,24,26,27,-5,-5
1460,1,4,1984,13,1,75100,1,16,16,16,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1461,1,10,1981,15,-4,-4,1,16,16,16,16,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
1462,2,10,1984,12,-4,-4,1,16,16,16,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,26,29,31
1463,1,5,1980,17,-4,-4,1,18,14,-4,14,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
1464,2,3,1984,12,1,91900,1,17,16,17,16,4,14,15,16,17,18,19,21,21,22,-5,-5,-5,-5,-5,30,-5
1465,1,7,1984,12,1,52000,1,12,12,12,16,1,14,15,16,17,18,19,-5,21,-5,23,24,-5,26,27,-5,31
1466,2,1,1982,15,3,-3,1,16,16,16,16,1,17,18,18,19,20,21,23,23,24,25,26,27,29,29,31,-5
1467,2,11,1980,16,1,-3,1,12,12,-4,12,1,-5,-5,20,-5,-5,-5,24,25,-5,-5,-5,-5,-5,-5,33,35
1468,1,12,1981,15,1,20000,1,12,12,-4,12,1,16,17,19,19,20,21,22,23,24,25,26,27,29,29,32,33
1469,1,5,1984,13,1,25896,1,12,12,-4,12,1,14,15,16,17,18,19,-5,21,22,23,24,25,26,27,29,31
1470,2,10,1982,14,1,33866,1,14,15,14,15,1,16,17,18,19,20,21,22,23,24,25,25,26,27,28,31,33
1471,1,6,1984,12,1,33866,1,14,15,14,15,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,-5
1472,2,4,1983,14,1,-3,1,-4,14,-4,14,1,15,16,17,18,20,20,22,23,23,24,25,26,27,28,30,32
1473,1,12,1983,13,1,44300,1,16,18,-4,18,1,14,15,17,17,18,19,21,21,22,23,24,25,26,27,30,31
1474,1,8,1980,16,3,60007,1,13,14,13,14,2,18,19,20,21,22,23,-5,25,26,-5,-5,29,30,31,33,35
1475,2,6,1983,14,3,60007,1,13,14,13,14,2,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
1476,2,4,1981,16,1,135010,1,14,12,14,12,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
